,lane_ID,id,parent_id,time_sec,length_um,gfp_nb
665,20190515.0.10,38,30,19620,3.38455,25136.1335907
666,20190515.0.10,38,30,19800,3.51,26164.626974640003
667,20190515.0.10,38,30,19980,3.77325,27781.033864320005
668,20190515.0.10,38,30,20160,3.9,29132.48692134
669,20190515.0.10,38,30,20340,4.0391,29451.63965436
670,20190515.0.10,39,30,16920,1.625,16090.1338653
671,20190515.0.10,39,30,17100,1.7251,16656.957278280002
672,20190515.0.10,39,30,17280,1.7875,17319.39473286
673,20190515.0.10,39,30,17460,1.8447,17614.37882556
674,20190515.0.10,39,30,17640,1.91685,17840.3149089
675,20190515.0.10,39,30,17820,1.93505,17995.105335239998
676,20190515.0.10,39,30,18000,2.0397,18891.77253876
677,20190515.0.10,39,30,18180,2.11055,19593.27713574
678,20190515.0.10,39,30,18360,2.1775,19782.24008112
679,20190515.0.10,39,30,18540,2.2418500000000003,20531.24984394
680,20190515.0.10,39,30,18720,2.3699000000000003,21045.20680152
681,20190515.0.10,39,30,18900,2.49275,21715.20363672
682,20190515.0.10,39,30,19080,2.62665,22661.48173212
683,20190515.0.10,39,30,19260,2.73,23461.04478366
684,20190515.0.10,39,30,19440,2.8060500000000004,23988.84026814
685,20190515.0.10,39,30,19620,2.938,25404.30084654
686,20190515.0.10,39,30,19800,3.00755,26419.21113546
687,20190515.0.10,39,30,19980,3.2019,28074.59010774
688,20190515.0.10,39,30,20160,3.3202,29531.28647106
689,20190515.0.10,39,30,20340,3.4502,30175.4093553
690,20190515.0.10,39,30,20520,3.64,32296.60553526
691,20190515.0.10,39,30,20700,3.77,32538.09849246
692,20190515.0.10,40,38,20520,2.145,15164.04974238
693,20190515.0.10,40,38,20700,2.2347,14910.53147892
694,20190515.0.10,40,38,20880,2.275,15913.373598540002
695,20190515.0.10,40,38,21060,2.34,16563.2929407
696,20190515.0.10,40,38,21240,2.405,16809.242369040003
697,20190515.0.10,40,38,21420,2.47,17622.47554056
698,20190515.0.10,40,38,21600,2.6,18103.83274458
699,20190515.0.10,40,38,21780,2.6,18685.738490760003
700,20190515.0.10,40,38,21960,2.795,19338.48131292
701,20190515.0.10,40,38,22140,2.9250000000000003,20324.07578124
702,20190515.0.10,40,38,22320,2.99975,21250.1395458
703,20190515.0.10,40,38,22500,3.1252,22709.43072288
704,20190515.0.10,40,38,22680,3.185,23446.24771104
705,20190515.0.10,40,38,22860,3.38,25159.51200906
706,20190515.0.10,40,38,23040,3.5828,26818.50021048
707,20190515.0.10,40,38,23220,3.7778,25390.86443586
708,20190515.0.10,41,38,20520,2.0319000000000003,16309.60600302
709,20190515.0.10,41,38,20700,2.1086,16600.1540166
